Sand_gkg,Clay_gkg,SOM_gkg,Ca_mmolkg,Mg_mmolkg,CEC_Ph7_mmolkg,Sand_gkg_ausente,Clay_gkg_ausente,SOM_gkg_ausente,Ca_mmolkg_ausente,Mg_mmolkg_ausente,CEC_Ph7_mmolkg_ausente,Vegetation,Bioma,Geology,Sampling,MIR_availability,Region
770.0,183.0,20.0,11.0,8.0,37.5,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest
520.0,335.0,23.0,28.0,16.0,66.5,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest
90.0,670.0,39.0,13.0,7.0,97.5,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Midwest
660.0,215.0,12.0,6.0,2.0,36.1,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest
359.8,587.2,22.8,9.3,6.4,54.6,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest
190.0,730.0,30.0,35.0,5.0,89.0,0,0,0,0,0,0,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest
730.4,199.7,18.1,21.4,7.2,50.9,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest
637.0,240.0,29.0,13.0,5.2,44.1,1,1,0,1,1,1,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest
816.6,124.9,12.2,15.1,6.0,45.2,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest
786.0,155.0,15.0,11.0,5.0,36.7,0,0,0,0,0,0,Desconhecido,Desconhecido,Desconhecido,Auger,NO,Midwest
320.0,580.0,23.0,15.0,7.0,73.2,0,0,0,0,0,0,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest
880.0,100.0,11.0,3.0,2.0,31.5,0,0,0,0,0,0,Areas of Pioneering Formation,Mata Atlantica,Igneous Rock,Profile,YES,Midwest
570.0,323.0,13.0,8.0,2.0,32.3,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest
181.0,325.6,41.0,13.0,5.2,44.1,0,0,0,1,1,1,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Profile,NO,Midwest
845.7,99.9,12.3,6.0,2.4,28.4,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest
849.0,133.0,13.0,20.0,10.0,43.5,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest
200.0,660.0,32.0,27.0,8.0,98.8,0,0,0,0,0,0,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest
729.0,230.0,17.0,21.3,4.4,37.3,0,0,0,0,0,0,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest
886.0,85.0,8.1,0.2,0.1,9.6,0,0,0,0,0,0,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest
60.0,770.0,36.0,26.0,18.0,90.0,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Profile,YES,Midwest
637.0,240.0,29.0,13.0,5.2,44.1,1,1,0,1,1,1,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest
411.1,424.6,35.0,21.2,11.6,79.2,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest
40.0,790.0,28.0,24.0,10.0,79.0,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Midwest
