ID_Unique,Sand_gkg,Clay_gkg,SOM_gkg,Ca_mmolkg,Mg_mmolkg,CEC_Ph7_mmolkg,Vegetation,Bioma,Geology,Sampling,MIR_availability,Region,Sand_gkg_ausente,Clay_gkg_ausente,SOM_gkg_ausente,Ca_mmolkg_ausente,Mg_mmolkg_ausente,CEC_Ph7_mmolkg_ausente
14134,280.0,200.0,17.0,13.0,5.2,44.1,Mixed Ombrophylous Forest,Mata Atlantica,Sedimentary Rock,Desconhecido,NO,South,0,0,1,1,1,1
13890,160.0,450.0,17.0,13.0,5.2,44.1,Mixed Ombrophylous Forest,Mata Atlantica,Igneous Rock,Desconhecido,YES,South,0,0,1,1,1,1
31540,520.0,280.0,29.0,2.0,1.0,91.9,Savannah,Amazonia,Igneous Rock,Auger,NO,North,0,0,0,0,0,0
5253,822.0,101.0,13.1,75.8,11.0,96.5,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
29383,726.0,207.0,10.9,19.7,7.4,43.1,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
8855,912.0,87.0,9.0,1.0,1.0,32.5,Desconhecido,Desconhecido,Desconhecido,Auger,NO,Midwest,0,0,0,0,0,0
11357,709.1,262.4,18.3,8.0,3.9,46.4,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
15968,240.0,439.0,27.0,30.0,8.0,76.1,Savannah,Cerrado,Sedimentary Rock,Profile,YES,Southeast,0,0,0,0,0,0
22012,800.0,124.0,11.0,14.0,7.0,41.3,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
7656,348.0,482.0,21.8,43.4,22.7,88.4,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
6227,860.0,114.0,15.6,24.2,5.8,52.5,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
14270,583.0,379.0,17.0,13.0,5.2,44.1,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,1,1,1,1
12993,440.0,160.0,17.0,13.0,5.2,44.1,Dense Ombrophylous Forest,Mata Atlantica,Igneous Rock,Desconhecido,YES,South,0,0,1,1,1,1
2613,637.0,240.0,4.0,13.0,5.2,44.1,Amazon Rainforest,Amazonia,Sedimentary Rock,Auger,NO,Northeast,1,1,0,1,1,1
15821,760.0,180.0,8.888889,2.0,1.0,19.7,Areas of Pioneering Formation,Mata Atlantica,Igneous Rock,Profile,YES,Midwest,0,0,0,0,0,0
8380,846.0,130.0,12.0,3.0,2.0,25.7,Desconhecido,Desconhecido,Desconhecido,Auger,NO,Midwest,0,0,0,0,0,0
19987,860.0,80.0,10.0,1.0,1.0,21.3,Areas of Pioneering Formation,Mata Atlantica,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
15151,40.0,730.0,7.0,17.0,5.0,54.5,Savannah,Cerrado,Igneous Rock,Profile,YES,Southeast,0,0,0,0,0,0
22851,630.0,298.0,7.0,3.0,1.0,29.1,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest,0,0,0,0,0,0
18988,840.0,100.0,16.0,13.0,7.0,35.1,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
1098,397.0,196.0,36.64,54.4,14.3,127.9,Seasonal Deciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,South,0,0,0,0,0,0
15953,110.0,449.0,53.0,7.0,2.0,47.8,Savannah,Cerrado,Sedimentary Rock,Profile,YES,Southeast,0,0,0,0,0,0
1370,70.0,510.0,44.48,13.0,5.2,44.1,Seasonal Deciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,South,0,0,0,1,1,1
30743,820.0,160.0,16.0,1.0,1.0,33.5,Savannah,Amazonia,Igneous Rock,Auger,NO,North,0,0,0,0,0,0
14116,710.0,110.0,17.0,13.0,5.2,44.1,Mixed Ombrophylous Forest,Mata Atlantica,Igneous Rock,Desconhecido,NO,South,0,0,1,1,1,1
10390,878.0,101.0,6.1,7.8,4.0,17.0,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest,0,0,0,0,0,0
14231,592.0,377.0,17.0,13.0,5.2,44.1,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,1,1,1,1
20858,820.0,120.0,10.0,4.0,1.0,23.3,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
179,637.0,240.0,32.0,13.0,5.2,44.1,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest,1,1,0,1,1,1
30538,250.0,640.0,27.0,51.0,17.0,116.2,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
14367,646.6667,30.0,17.0,13.0,5.2,44.1,Savannah,Cerrado,Sedimentary Rock,Profile,NO,Southeast,0,0,1,1,1,1
18038,520.0,440.0,24.0,16.0,4.0,52.0,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
17536,140.0,750.0,28.0,41.0,18.0,117.1,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
17128,290.0,430.0,29.0,13.0,3.0,62.5,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
31428,380.0,580.0,18.0,1.0,1.0,40.5,Savannah,Amazonia,Igneous Rock,Auger,NO,North,0,0,0,0,0,0
15817,669.0,257.0,13.0,24.0,10.0,50.3,Savannah,Cerrado,Sedimentary Rock,Profile,YES,Southeast,0,0,0,0,0,0
34666,349.0,544.0,22.0,12.0,5.0,17.0,Seasonal Semideciduous Forest,Mata Atlantica,Metamorphic Rock,Auger,NO,Southeast,0,0,0,0,0,0
8534,756.0,205.0,17.0,12.0,5.0,38.1,Desconhecido,Desconhecido,Desconhecido,Auger,NO,Midwest,0,0,0,0,0,0
26518,490.0,388.0,15.0,21.0,7.0,62.5,Dense Ombrophylous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
12643,798.1,187.4,13.6,5.7,3.2,31.9,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
29852,110.0,760.0,14.0,3.0,1.0,42.5,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
84,765.0,78.0,10.0,9.0,1.0,25.8,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest,0,0,0,0,0,0
34332,770.0,130.0,25.0,39.0,9.0,48.0,Seasonal Deciduous Forest,Cerrado,Metamorphic Rock,Auger,NO,Southeast,0,0,0,0,0,0
901,259.0,282.0,40.42,55.3,34.4,147.1,Seasonal Deciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,South,0,0,0,0,0,0
15007,130.0,760.0,46.0,57.0,7.0,137.0,Savannah,Cerrado,Igneous Rock,Profile,YES,Midwest,0,0,0,0,0,0
15922,240.0,476.0,32.0,7.0,2.0,51.3,Savannah,Cerrado,Sedimentary Rock,Profile,YES,Southeast,0,0,0,0,0,0
13464,320.0,300.0,17.0,13.0,5.2,44.1,Mixed Ombrophylous Forest,Mata Atlantica,Igneous Rock,Desconhecido,NO,South,0,0,1,1,1,1
13014,470.0,240.0,17.0,13.0,5.2,44.1,Mixed Ombrophylous Forest,Mata Atlantica,Sedimentary Rock,Desconhecido,YES,South,0,0,1,1,1,1
27224,348.0,495.0,20.1,14.0,8.6,48.7,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
13987,210.0,460.0,17.0,13.0,5.2,44.1,Mixed Ombrophylous Forest,Mata Atlantica,Igneous Rock,Desconhecido,NO,South,0,0,1,1,1,1
16582,760.0,180.0,15.0,12.0,5.0,36.3,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
13168,370.0,240.0,17.0,13.0,5.2,44.1,Mixed Ombrophylous Forest,Mata Atlantica,Igneous Rock,Desconhecido,NO,South,0,0,1,1,1,1
